id,brand,category,price,rating,discount,review,image_path,buy
0,Alpha,Electronics,62.2,4.5,0.41,I think this Alpha electronics is average. Price feels fair. Would consider buying again.,images/img_0.png,1
1,Bravo,Beauty,25.84,4.3,0.35,I think this Bravo beauty is great. Price feels fair. Would consider buying again.,images/img_1.png,1
2,Alpha,Sports,25.36,4.2,0.22,I think this Alpha sports is great. Price feels fair. Would consider buying again.,images/img_2.png,1
3,Delta,Electronics,62.19,4.2,0.0,I think this Delta electronics is great. Price feels fair. Would consider buying again.,images/img_3.png,1
4,Bravo,Beauty,161.18,3.5,0.18,I think this Bravo beauty is good. Price feels fair. Would consider buying again.,images/img_4.png,1
5,Alpha,Sports,141.26,3.4,0.29,I think this Alpha sports is great. Price feels fair. Would consider buying again.,images/img_5.png,1
6,Echo,Fashion,144.36,4.4,0.32,I think this Echo fashion is great. Price feels fair. Would consider buying again.,images/img_6.png,1
7,Echo,Home,284.18,3.4,0.16,I think this Echo home is poor. Price feels fair. Would consider buying again.,images/img_7.png,0
8,Alpha,Beauty,207.15,5.0,0.26,I think this Alpha beauty is average. Price feels fair. Would consider buying again.,images/img_8.png,1
9,Citrus,Home,84.05,2.7,0.36,I think this Citrus home is great. Price feels fair. Would consider buying again.,images/img_9.png,1
10,Citrus,Electronics,173.63,1.8,0.04,I think this Citrus electronics is great. Price feels fair. Would consider buying again.,images/img_10.png,1
11,Alpha,Home,276.34,3.9,0.15,I think this Alpha home is poor. Price feels fair. Would consider buying again.,images/img_11.png,0
12,Echo,Home,165.51,4.5,0.21,I think this Echo home is poor. Price feels fair. Would consider buying again.,images/img_12.png,0
13,Delta,Sports,49.87,4.6,0.33,I think this Delta sports is great. Price feels fair. Would consider buying again.,images/img_13.png,1
14,Delta,Electronics,184.73,4.2,0.29,I think this Delta electronics is average. Price feels fair. Would consider buying again.,images/img_14.png,1
15,Echo,Home,189.76,3.5,0.17,I think this Echo home is average. Price feels fair. Would consider buying again.,images/img_15.png,0
16,Alpha,Electronics,202.12,2.4,0.3,I think this Alpha electronics is average. Price feels fair. Would consider buying again.,images/img_16.png,0
17,Citrus,Electronics,43.68,5.0,0.32,I think this Citrus electronics is poor. Price feels fair. Would consider buying again.,images/img_17.png,1
18,Alpha,Fashion,83.26,3.8,0.06,I think this Alpha fashion is great. Price feels fair. Would consider buying again.,images/img_18.png,1
19,Citrus,Beauty,193.56,4.1,0.0,I think this Citrus beauty is good. Price feels fair. Would consider buying again.,images/img_19.png,1
20,Bravo,Home,184.28,2.6,0.23,I think this Bravo home is average. Price feels fair. Would consider buying again.,images/img_20.png,0
21,Alpha,Sports,93.03,4.5,0.37,I think this Alpha sports is average. Price feels fair. Would consider buying again.,images/img_21.png,1
22,Echo,Beauty,72.35,5.0,0.17,I think this Echo beauty is great. Price feels fair. Would consider buying again.,images/img_22.png,1
23,Delta,Home,268.87,3.3,0.15,I think this Delta home is terrible. Price feels fair. Would consider buying again.,images/img_23.png,0
24,Echo,Beauty,9.15,2.7,0.05,I think this Echo beauty is average. Price feels fair. Would consider buying again.,images/img_24.png,1
25,Alpha,Beauty,130.05,3.6,0.16,I think this Alpha beauty is poor. Price feels fair. Would consider buying again.,images/img_25.png,0
26,Citrus,Fashion,57.8,4.3,0.0,I think this Citrus fashion is great. Price feels fair. Would consider buying again.,images/img_26.png,1
27,Bravo,Sports,290.82,2.1,0.2,I think this Bravo sports is poor. Price feels fair. Would consider buying again.,images/img_27.png,0
28,Citrus,Beauty,86.37,3.9,0.25,I think this Citrus beauty is average. Price feels fair. Would consider buying again.,images/img_28.png,1
29,Delta,Fashion,272.4,3.4,0.14,I think this Delta fashion is great. Price feels fair. Would consider buying again.,images/img_29.png,1
30,Bravo,Beauty,169.34,3.2,0.23,I think this Bravo beauty is average. Price feels fair. Would consider buying again.,images/img_30.png,0
31,Echo,Home,220.18,5.0,0.0,I think this Echo home is average. Price feels fair. Would consider buying again.,images/img_31.png,1
32,Delta,Sports,245.77,3.6,0.26,I think this Delta sports is good. Price feels fair. Would consider buying again.,images/img_32.png,1
33,Bravo,Beauty,20.82,5.0,0.33,I think this Bravo beauty is good. Price feels fair. Would consider buying again.,images/img_33.png,1
34,Alpha,Electronics,243.76,3.3,0.16,I think this Alpha electronics is poor. Price feels fair. Would consider buying again.,images/img_34.png,0
35,Bravo,Beauty,121.15,3.2,0.15,I think this Bravo beauty is poor. Price feels fair. Would consider buying again.,images/img_35.png,0
36,Delta,Sports,210.78,3.4,0.12,I think this Delta sports is great. Price feels fair. Would consider buying again.,images/img_36.png,1
37,Delta,Sports,162.6,3.7,0.17,I think this Delta sports is terrible. Price feels fair. Would consider buying again.,images/img_37.png,0
38,Echo,Home,264.96,3.4,0.07,I think this Echo home is terrible. Price feels fair. Would consider buying again.,images/img_38.png,0
39,Alpha,Electronics,269.16,4.3,0.25,I think this Alpha electronics is average. Price feels fair. Would consider buying again.,images/img_39.png,1
40,Echo,Home,280.33,4.7,0.37,I think this Echo home is poor. Price feels fair. Would consider buying again.,images/img_40.png,1
41,Citrus,Electronics,38.43,4.2,0.02,I think this Citrus electronics is great. Price feels fair. Would consider buying again.,images/img_41.png,1
42,Bravo,Fashion,297.39,2.7,0.2,I think this Bravo fashion is great. Price feels fair. Would consider buying again.,images/img_42.png,1
43,Citrus,Sports,255.27,4.8,0.48,I think this Citrus sports is poor. Price feels fair. Would consider buying again.,images/img_43.png,1
44,Echo,Electronics,193.54,4.5,0.0,I think this Echo electronics is poor. Price feels fair. Would consider buying again.,images/img_44.png,0
45,Citrus,Sports,267.69,5.0,0.28,I think this Citrus sports is average. Price feels fair. Would consider buying again.,images/img_45.png,1
46,Bravo,Home,202.99,3.6,0.28,I think this Bravo home is poor. Price feels fair. Would consider buying again.,images/img_46.png,0
47,Echo,Sports,16.05,2.9,0.27,I think this Echo sports is terrible. Price feels fair. Would consider buying again.,images/img_47.png,0
48,Echo,Home,90.07,4.3,0.28,I think this Echo home is good. Price feels fair. Would consider buying again.,images/img_48.png,1
